series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
31646,3-gatsu no Lion,TV,22,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41457,86,TV,11,0,11,2022-05-08,2022-05-08,,9,,0.00,Completed,,1,,LOW,,0,0,1,default,0
48569,86 Part 2,TV,12,0,12,2022-05-08,2022-05-09,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,0,11,2022-06-15,2022-06-16,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5081,Bakemonogatari,TV,15,0,15,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36649,Banana Fish,TV,24,0,24,2021-04-27,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10800,Chihayafuru,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
47398,Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,ONA,4,0,4,0000-00-00,2021-04-01,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2167,Clannad,TV,23,0,23,2021-04-28,2021-05-05,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4181,Clannad: After Story,TV,24,0,24,2021-05-05,0000-00-00,,9,,0.00,Completed,mens ((,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,2022-06-05,2022-06-12,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,0,25,2022-06-12,2022-06-15,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1,Cowboy Bebop,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35849,Darling in the FranXX,TV,24,0,24,2021-04-10,0000-00-00,,8,,0.00,Completed,what the fuck just happened,0,,LOW,,0,0,1,default,0
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,0,1,2021-08-06,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,0,1,2021-08-06,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,0,1,2021-08-07,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22297,Fate/stay night: Unlimited Blade Works,TV,12,0,13,2021-07-25,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,13,2021-07-26,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Special,1,0,1,0000-00-00,2021-07-27,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10087,Fate/Zero,TV,13,0,13,2021-08-08,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11741,Fate/Zero 2nd Season,TV,12,0,6,2021-09-03,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
38680,Fruits Basket 1st Season,TV,25,0,25,2021-07-05,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40417,Fruits Basket 2nd Season,TV,25,0,25,2021-07-10,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49310,Fruits Basket: Prelude,Movie,1,0,1,2022-04-19,2022-04-19,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42938,Fruits Basket: The Final,TV,13,0,13,2021-07-13,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
918,Gintama,TV,201,0,201,2022-01-15,0000-00-00,,7,,0.00,Completed,ep 189 man,0,,LOW,,0,0,1,default,0
7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,0,1,2022-01-23,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,0,1,0000-00-00,2022-04-07,,10,,0.00,Completed,“waste of a voice actor” omegalul,0,,LOW,,0,0,1,default,0
9969,Gintama',TV,51,0,51,2022-03-16,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15417,Gintama': Enchousen,TV,13,0,13,2022-04-01,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34096,Gintama.,TV,12,0,12,2022-04-22,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35843,Gintama.: Porori-hen,TV,13,0,13,2022-04-11,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36838,Gintama.: Shirogane no Tamashii-hen,TV,12,0,12,2022-04-24,2022-05-05,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,0,14,2022-05-05,2022-05-06,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39486,Gintama: The Final,Movie,1,0,1,2022-05-06,2022-05-06,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
44087,Gintama: The Semi-Final,Special,2,0,2,2022-05-06,2022-05-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28977,Gintama°,TV,51,0,51,2022-04-07,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32366,Gintama°: Aizome Kaori-hen,OVA,2,0,2,2022-04-17,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17895,Golden Time,TV,24,0,0,2021-09-08,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
42897,Horimiya,TV,13,0,13,2021-04-12,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
431,Howl no Ugoku Shiro,Movie,1,0,1,2022-06-23,2022-06-23,,3,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11061,Hunter x Hunter (2011),TV,148,0,148,2021-05-29,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40787,Josee to Tora to Sakana-tachi,Movie,1,0,1,2021-08-05,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40748,Jujutsu Kaisen (TV),TV,24,0,24,2021-02-20,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
51009,Jujutsu Kaisen (TV) 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48561,Jujutsu Kaisen 0 Movie,Movie,1,0,1,2022-03-26,2022-03-26,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,0,12,2021-03-29,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
43609,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,OVA,1,0,1,2021-05-23,2021-05-23,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,0,12,2021-05-23,2021-05-23,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,0,12,2021-03-30,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37965,Kaze ga Tsuyoku Fuiteiru,TV,23,0,1,2022-01-17,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
38000,Kimetsu no Yaiba,TV,26,0,26,2021-03-22,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,0,1,2021-07-05,2021-07-05,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
47778,Kimetsu no Yaiba: Yuukaku-hen,TV,11,0,11,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32281,Kimi no Na wa.,Movie,1,0,1,2021-05-15,2021-05-15,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36098,Kimi no Suizou wo Tabetai,Movie,1,0,1,2021-04-14,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28851,Koe no Katachi,Movie,1,0,1,2021-03-31,2021-03-31,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,0,10,2022-07-02,2022-07-02,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,0,10,2022-07-02,2022-07-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,1,0,1,0000-00-00,2022-07-07,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1,0,1,2022-07-07,2022-07-10,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,OVA,1,0,1,0000-00-00,2022-07-02,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16782,Kotonoha no Niwa,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34599,Made in Abyss,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32182,Mob Psycho 100,TV,12,0,12,2022-01-13,2021-04-08,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37510,Mob Psycho 100 II,TV,13,0,2,2022-07-20,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
164,Mononoke Hime,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,0,11,2022-06-17,2022-06-20,,8,,0.00,Completed,,1,,LOW,,0,0,1,default,0
51179,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,0,12,2022-06-20,2022-06-21,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50360,Mushoku Tensei: Isekai Ittara Honki Dasu Special,Special,1,0,1,0000-00-00,2022-06-21,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
877,Nana,TV,47,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
46102,Odd Taxi,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
52299,Ore dake Level Up na Ken,Unknown,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40834,Ousama Ranking,TV,23,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
22135,Ping Pong the Animation,TV,11,0,11,2021-04-13,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
27775,Plastic Memories,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,0,25,2021-04-19,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36286,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,Movie,1,0,2,2021-04-19,2021-04-23,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,0,13,2021-04-23,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,0,12,2021-04-25,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
12531,Sakamichi no Apollon,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,0,13,2021-03-08,2021-03-08,,8,,0.00,Completed,,1,,LOW,,0,0,1,default,0
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,0,1,2021-03-20,2021-03-08,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
199,Sen to Chihiro no Kamikakushi,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
23273,Shigatsu wa Kimi no Uso,TV,22,0,22,2021-03-15,2021-03-15,,10,,0.00,Completed,goat,4,,LOW,,0,0,1,default,0
28069,Shigatsu wa Kimi no Uso: Moments,OVA,1,0,1,2021-03-20,2021-03-17,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
44074,Shiguang Dailiren,ONA,11,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
16498,Shingeki no Kyojin,TV,25,0,25,0000-00-00,2022-01-03,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
18397,Shingeki no Kyojin OVA,OVA,3,0,3,0000-00-00,2022-01-05,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
25777,Shingeki no Kyojin Season 2,TV,12,0,12,2022-01-08,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35760,Shingeki no Kyojin Season 3,TV,12,0,12,2022-01-08,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,0,10,2022-01-09,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
25781,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,0,2,0000-00-00,2022-01-06,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36106,Shingeki no Kyojin: Lost Girls,OVA,3,0,3,2022-01-08,2022-01-09,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40028,Shingeki no Kyojin: The Final Season,TV,16,0,16,2022-01-10,2022-01-13,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48583,Shingeki no Kyojin: The Final Season Part 2,TV,12,0,12,2022-01-13,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
13125,Shinsekai yori,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35838,Shoujo Shuumatsu Ryokou,TV,12,0,0,2022-05-12,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35503,Shoujo☆Kageki Revue Starlight,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
28735,Shouwa Genroku Rakugo Shinjuu,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48736,Sono Bisque Doll wa Koi wo Suru,TV,12,0,12,2022-01-29,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35839,Sora yori mo Tooi Basho,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
50265,Spy x Family,TV,12,0,12,2022-04-16,2022-06-25,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50602,Spy x Family Part 2,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
9253,Steins;Gate,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
7311,Suzumiya Haruhi no Shoushitsu,Movie,1,0,1,2022-05-25,2022-05-30,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
849,Suzumiya Haruhi no Yuuutsu,TV,14,0,14,0000-00-00,2022-05-30,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4382,Suzumiya Haruhi no Yuuutsu (2009),TV,14,0,28,2022-05-25,2022-05-30,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2001,Tengen Toppa Gurren Lagann,TV,27,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38826,Tenki no Ko,Movie,1,0,1,2021-05-16,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40730,Tian Guan Ci Fu,ONA,11,0,11,2021-07-03,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50399,Tian Guan Ci Fu 2nd Season,ONA,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
44070,Tian Guan Ci Fu Special,ONA,1,0,1,2021-07-04,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41389,Tonikaku Kawaii,TV,12,0,12,2021-09-05,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50307,Tonikaku Kawaii 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
51533,Tonikaku Kawaii: Seifuku,Unknown,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
44931,Tonikaku Kawaii: SNS,OVA,1,0,1,2021-09-07,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4224,Toradora!,TV,25,0,25,2021-07-18,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34822,Tsuki ga Kirei,TV,12,0,12,2022-05-07,2022-05-07,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37521,Vinland Saga,TV,24,0,24,2021-03-09,2021-03-20,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49387,Vinland Saga Season 2,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
33352,Violet Evergarden,TV,13,0,13,2021-03-31,2021-03-31,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,0,1,2021-04-01,2021-04-01,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37987,Violet Evergarden Movie,Movie,1,0,1,2021-04-01,2021-04-01,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,0,1,2021-03-31,2021-03-31,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
46095,Vivy: Fluorite Eye's Song,TV,13,0,13,2022-06-01,2022-06-03,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35968,Wotaku ni Koi wa Muzukashii,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37779,Yakusoku no Neverland,TV,12,0,2,2021-01-12,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
34798,Yuru Camp△,TV,12,0,12,2021-04-29,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38474,Yuru Camp△ Season 2,TV,13,0,2,2021-05-24,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
